Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
İstanbul,Beylikdüzü,Kavaklı Mahallesi,435000,135 M2,125 M2,3+1,0 (Yeni),3. Kat
Ankara,Sincan,Plevne Mahallesi,479000,125 M2,115 M2,3+1,21 Ve Üzeri,3. Kat
Çanakkale,Ayvacık,Küçükkuyu Bld. (Mıhlı Mahallesi)i,1575000,160 M2,130 M2,4+1,11-15,Villa Tipi
İstanbul,Büyükçekmece,Yenimahalle Mahallesi,7750000,450 M2,250 M2,3+1,11-15,Müstakil
İstanbul,Esenyurt,Güzelyurt Mahallesi,1289000,125 M2,115 M2,2+1,3,15. Kat
Kırıkkale,Kırıkkale Merkez,Kaletepe Mahallesi,350000,120 M2,115 M2,3+1,0 (Yeni),Yüksek Giriş
İstanbul,Beylikdüzü,Kavaklı Mahallesi,1250000,140 M2,125 M2,3+1,5-10,Yüksek Giriş
Aydın,Didim,Çamlık Mahallesi,825000,75 M2,70 M2,2+1,5-10,Yüksek Giriş
İstanbul,Büyükçekmece,Mimaroba Mahallesi,1350000,145 M2,135 M2,3+1,3,1. Kat
Adana,Sarıçam,Osmangazi Mahallesi,540000,155 M2,120 M2,3+1,2,1. Kat
Trabzon,Akçaabat,Söğütlü Mahallesi,1080000,220 M2,190 M2,4+1,4,2. Kat
Diyarbakır,Kayapınar,Medya Mahallesi,1850000,210 M2,198 M2,4+1,0 (Yeni),5. Kat
İstanbul,Eyüpsultan,İslambey Mahallesi,600000,105 M2,95 M2,2+1,5-10,Yüksek Giriş
İstanbul,Beylikdüzü,Kavaklı Mahallesi,1150000,105 M2,90 M2,2+1,5-10,1. Kat
İstanbul,Sarıyer,Maden Mahallesi,3000000,120 M2,110 M2,3+1,21 Ve Üzeri,8. Kat
Kastamonu,Kastamonu Merkez,Kavak Köyüi,465000,90 M2,86 M2,3+1,0 (Yeni),2. Kat
Diyarbakır,Bağlar,Mevlana Halit Mahallesi,370000,165 M2,135 M2,3+1,16-20,2. Kat
Diyarbakır,Kayapınar,Talaytepe Mahallesi,600000,147 M2,125 M2,3+1,2,7. Kat
Ankara,Keçiören,Ufuktepe Mahallesi,620000,135 M2,130 M2,3+1,5-10,4. Kat
İstanbul,Küçükçekmece,Atakent Mahallesi,1300000,75 M2,67 M2,2+1,21 Ve Üzeri,3. Kat
Ankara,Keçiören,Pınarbaşı Mahallesi,480000,120 M2,119 M2,3+1,11-15,6. Kat
İstanbul,Silivri,Cumhuriyet Mahallesi,1800000,170 M2,150 M2,3+1,21 Ve Üzeri,Villa Tipi
İstanbul,Esenyurt,Sultaniye Mahallesi,376000,105 M2,100 M2,2+1,5-10,Bahçe Katı
Ankara,Keçiören,Etlik Mahallesi,460000,125 M2,115 M2,3+1,0 (Yeni),Yüksek Giriş
İstanbul,Esenyurt,Barbaros Hayrettin Paşa Mahallesi,950000,100 M2,90 M2,2+1,5-10,10. Kat
İzmir,Çiğli,Yakakent Mahallesi,800000,80 M2,53 M2,1+1,1,3. Kat
Balıkesir,Edremit,Akçay Mahallesi,780000,125 M2,110 M2,2+1,4,1. Kat
Balıkesir,Edremit,Akçay Mahallesi,699000,90 M2,80 M2,2+1,4,Yüksek Giriş
Balıkesir,Edremit,Akçay Mahallesi,670000,100 M2,90 M2,2+1,11-15,1. Kat
İstanbul,Esenyurt,Orhan Gazi Mahallesi,434000,85 M2,84 M2,2+1,4,Yüksek Giriş
İzmir,Dikili,Cumhuriyet Mahallesi,2050000,165 M2,160 M2,4+1,0 (Yeni),Bahçe Dublex
Trabzon,Akçaabat,Yıldızlı Mahallesi,385000,155 M2,140 M2,3+1,0 (Yeni),1. Kat
Samsun,İlkadım,Fevzi Çakmak Mahallesi,360000,160 M2,150 M2,3+1,3,Kot 1 (-1). Kat
Samsun,Bafra,Çilhane Mahallesi,460000,140 M2,132 M2,3+1,2,4. Kat
Ankara,Sincan,Fevzi Çakmak Mahallesi,365000,115 M2,95 M2,2+1,4,Yüksek Giriş
Ankara,Sincan,Mustafa Kemal Mahallesi,619000,165 M2,135 M2,3+1,0 (Yeni),1. Kat
İstanbul,Esenyurt,Cumhuriyet Mahallesi,350000,110 M2,95 M2,2+1,1,2. Kat
Balıkesir,Edremit,Akçay Mahallesi,970000,210 M2,200 M2,3+1,0 (Yeni),Çatı Dubleks
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,729999,160 M2,150 M2,3+1,0 (Yeni),1. Kat
İzmir,Buca,Buca Koop. Mahallesi,1350000,170 M2,150 M2,4+1,5-10,3. Kat
İzmir,Çeşme,Ildır Mahallesi,4000000,300 M2,140 M2,3+1,0 (Yeni),Villa Tipi
İstanbul,Bahçelievler,Şirinevler Mahallesi,1350000,120 M2,105 M2,3+1,5-10,2. Kat
İzmir,Buca,Yıldız Mahallesi,950000,110 M2,100 M2,2+1,0 (Yeni),5. Kat
İzmir,Gaziemir,Gazi Mahallesi,2650000,300 M2,270 M2,5+2,0 (Yeni),4. Kat
İstanbul,Çekmeköy,Mimar Sinan Mahallesi,569000,95 M2,80 M2,2+1,0 (Yeni),Düz Giriş
Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mahallesi,875000,170 M2,165 M2,4+1,0 (Yeni),Bahçe Dublex
Tekirdağ,Marmaraereğlisi,Yeniçiftlik Mahallesi,830000,195 M2,185 M2,4+1,0 (Yeni),Bahçe Dublex
Ankara,Etimesgut,Eryaman Mahallesi,700000,120 M2,110 M2,3+1,5-10,2. Kat
Tekirdağ,Çerkezköy,Kızılpınar Gültepe Mahallesi,319000,100 M2,90 M2,2+1,2,Yüksek Giriş
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,3200000,260 M2,240 M2,4+2,5-10,Çatı Dubleks
İstanbul,Kartal,Soğanlık Yeni Mahallesi,480000,120 M2,110 M2,3+1,21 Ve Üzeri,Düz Giriş
Balıkesir,Karesi,Atatürk Mahallesi,660000,125 M2,107 M2,3+1,21 Ve Üzeri,3. Kat
İstanbul,Sultangazi,Cebeci Mahallesi,800000,100 M2,90 M2,2+1,5-10,2. Kat
Balıkesir,Edremit,Altınoluk Mahallesi,1350000,120 M2,100 M2,2+1,5-10,1. Kat
Ankara,Sincan,Fevzi Çakmak Mahallesi,370000,125 M2,115 M2,3+1,16-20,2. Kat
Şanlıurfa,Karaköprü,Batıkent Mahallesi,650000,160 M2,140 M2,3+1,1,3. Kat
Mersin,Erdemli,Akdeniz Mahallesi,490000,110 M2,-,120 M2,2+1,21 Ve Üzeri
İstanbul,Küçükçekmece,Atakent Mahallesi,1269000,84 M2,80 M2,2+1,11-15,4. Kat
İstanbul,Kadıköy,Fenerbahçe Mahallesi,4500000,165 M2,125 M2,3+1,21 Ve Üzeri,1. Kat
Ankara,Sincan,Mareşal Çakmak Mahallesi,559000,125 M2,115 M2,3+1,16-20,1. Kat
Balıkesir,Edremit,Akçay Mahallesi,775000,110 M2,100 M2,2+1,5-10,4. Kat
Balıkesir,Edremit,Akçay Mahallesi,422000,70 M2,65 M2,1+1,11-15,1. Kat
Balıkesir,Edremit,Akçay Mahallesi,750000,200 M2,170 M2,3+1,11-15,3. Kat
Ankara,Mamak,Durali Alıç Mahallesi,1970000,150 M2,130 M2,3+1,11-15,10. Kat
Ankara,Keçiören,Kanuni Mahallesi,298999,110 M2,100 M2,2+1,5-10,Düz Giriş
Ankara,Mamak,General Zeki Doğan Mahallesi,1300000,185 M2,180 M2,4+1,0 (Yeni),5. Kat
Ankara,Mamak,General Zeki Doğan Mahallesi,1150000,185 M2,180 M2,4+1,0 (Yeni),1. Kat
Balıkesir,Edremit,Akçay Mahallesi,465000,155 M2,150 M2,3+1,11-15,3. Kat
Balıkesir,Edremit,Akçay Mahallesi,439000,100 M2,90 M2,2+1,16-20,3. Kat
İstanbul,Sultangazi,Gazi Mahallesi,675000,90 M2,85 M2,2+1,3,1. Kat
İstanbul,Büyükçekmece,Atatürk Mahallesi,2500000,210 M2,180 M2,3+2,4,Çatı Dubleks
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1500000,155 M2,140 M2,3+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Yakuplu Mahallesi,289000,105 M2,95 M2,2+1,0 (Yeni),Bahçe Katı
İstanbul,Beylikdüzü,Kavaklı Mahallesi,330000,75 M2,65 M2,1+1,0 (Yeni),3. Kat
İstanbul,Esenyurt,Mehmet Akif Ersoy Mahallesi,294000,100 M2,90 M2,2+1,0 (Yeni),4. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1400000,125 M2,113 M2,2+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Marmara Mahallesi,1600000,250 M2,200 M2,4+2,0 (Yeni),Çatı Dubleks
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,310000,75 M2,65 M2,1+1,0 (Yeni),4. Kat
Balıkesir,Edremit,Akçay Mahallesi,720000,200 M2,180 M2,5+1,3,3. Kat
Balıkesir,Edremit,Akçay Mahallesi,550000,95 M2,90 M2,2+1,16-20,1. Kat
İzmir,Karşıyaka,Aksoy Mahallesi,1250000,80 M2,70 M2,2+1,0 (Yeni),Yüksek Giriş
Adana,Sarıçam,Osmangazi Mahallesi,525000,110 M2,85 M2,2+1,4,4. Kat
İstanbul,Esenyurt,Mehterçeşme Mahallesi,290000,110 M2,100 M2,2+1,0 (Yeni),4. Kat
Balıkesir,Edremit,Akçay Mahallesi,420000,65 M2,60 M2,1+1,4,Yüksek Giriş
Ankara,Altındağ,Başpınar Mahallesi,620000,135 M2,125 M2,3+1,0 (Yeni),3. Kat
İstanbul,Esenyurt,Zafer Mahallesi,799000,110 M2,100 M2,2+1,0 (Yeni),2. Kat
Ankara,Sincan,İstasyon Mahallesi,389000,120 M2,115 M2,3+1,16-20,1. Kat
Balıkesir,Gömeç,Karaağaç Mahallesi,1550000,120 M2,100 M2,2+1,11-15,Bahçe Dublex
İstanbul,Sultangazi,75. Yıl Mahallesi,350000,85 M2,75 M2,2+1,5-10,Bahçe Katı
Ankara,Mamak,Başak Mahallesi,370000,110 M2,100 M2,2+1,11-15,3. Kat
Diyarbakır,Kayapınar,Huzurevleri Mahallesi,615000,160 M2,150 M2,3+1,11-15,4. Kat
İstanbul,Şişli,Eskişehir Mahallesi,700000,100 M2,90 M2,2+1,21 Ve Üzeri,4. Kat
Ankara,Altındağ,Beşikkaya Mahallesi,500000,145 M2,135 M2,3+1,3,5. Kat
Ankara,Yenimahalle,Özevler Mahallesi,795000,165 M2,145 M2,3+1,5-10,1. Kat
İstanbul,Esenyurt,Pınar Mahallesi,430000,100 M2,98 M2,2+1,5-10,1. Kat
İstanbul,Sultangazi,Zübeyde Hanım Mahallesi,495000,100 M2,95 M2,2+1,16-20,Yüksek Giriş
Balıkesir,Edremit,Güre Mahallesi,1850000,150 M2,140 M2,4+1,11-15,Bahçe Dublex
Tekirdağ,Şarköy,İstiklal Mahallesi,365000,75 M2,70 M2,2+1,21 Ve Üzeri,4. Kat
İstanbul,Kartal,Orhantepe Mahallesi,1475000,105 M2,82 M2,3+1,0 (Yeni),3. Kat
Karabük,Safranbolu,Akçasu Mahallesi,3600000,280 M2,260 M2,7+2,21 Ve Üzeri,Müstakil
Sinop,Sinop Merkez,Ada Mahallesi,250000,70 M2,65 M2,1+1,16-20,Bahçe Katı
İstanbul,Beşiktaş,Akat Mahallesi,9000000,240 M2,200 M2,4+1,0 (Yeni),1. Kat
İstanbul,Esenyurt,Güzelyurt Mahallesi,390000,95 M2,Https://Www.Youtube.Com/Watch?V=Po5drZXN2rM,110 M2,2+1,2
Ankara,Sincan,Fevzi Çakmak Mahallesi,800000,155 M2,145 M2,3+1,0 (Yeni),2. Kat
Samsun,İlkadım,Zafer Mahallesi,295000,140 M2,130 M2,3+1,2,2. Kat
İstanbul,Kağıthane,Çağlayan Mahallesi,855000,100 M2,90 M2,2+1,5-10,1. Kat
Ankara,Sincan,Ahi Evran Mahallesi,485000,245 M2,230 M2,4+1,11-15,5. Kat
Balıkesir,Karesi,Paşa Alanı Mahallesi,575000,110 M2,100 M2,2+1,16-20,Kot 3 (-3). Kat
Tekirdağ,Çerkezköy,Kızılpınar Gültepe Mahallesi,450000,130 M2,120 M2,3+1,5-10,3. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,3300000,165 M2,150 M2,3+1,5-10,1. Kat
Ankara,Mamak,Şahintepe Mahallesi,410000,110 M2,105 M2,3+1,5-10,Kot 1 (-1). Kat
Balıkesir,Edremit,Akçay Mahallesi,449000,150 M2,140 M2,3+1,0 (Yeni),1. Kat
Kocaeli,Gebze,Eskihisar Mahallesi,550000,110 M2,100 M2,2+1,0 (Yeni),4. Kat
Adana,Sarıçam,Çarkıpare Mahallesi,725000,100 M2,-,145 M2,3+1,2
Ankara,Keçiören,Ovacık Mahallesi,1620000,250 M2,220 M2,4+1,0 (Yeni),9. Kat
Tekirdağ,Çerkezköy,İstasyon Mahallesi,330000,145 M2,120 M2,2+1,11-15,5. Kat
İzmir,Tire,İhsaniye Mahallesi,650000,250 M2,240 M2,3+1,21 Ve Üzeri,Bahçe Dublex
İstanbul,Avcılar,Mustafa Kemal Paşa Mahallesi,329000,110 M2,100 M2,2+1,21 Ve Üzeri,Düz Giriş
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,835000,80 M2,70 M2,2+1,5-10,2. Kat
İstanbul,Esenyurt,Cumhuriyet Mahallesi,2150000,185 M2,155 M2,3+1,5-10,10. Kat
İstanbul,Esenyurt,Cumhuriyet Mahallesi,700000,155 M2,140 M2,3+1,4,1. Kat
İstanbul,Esenyurt,Üçevler Mahallesi,390000,120 M2,100 M2,2+1,4,Bahçe Katı
İstanbul,Esenyurt,Cumhuriyet Mahallesi,780000,110 M2,95 M2,2+1,0 (Yeni),2. Kat
İstanbul,Esenyurt,Cumhuriyet Mahallesi,690000,115 M2,100 M2,2+1,0 (Yeni),4. Kat
Tekirdağ,Çerkezköy,İstasyon Mahallesi,330000,110 M2,100 M2,2+1,11-15,6. Kat
İstanbul,Beylikdüzü,Kavaklı Mahallesi,850000,115 M2,100 M2,2+1,0 (Yeni),2. Kat
Ankara,Çankaya,Sokullu Mehmet Paşa Mahallesi,789000,120 M2,110 M2,3+1,21 Ve Üzeri,1. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,2200000,155 M2,145 M2,2+1,3,Bahçe Katı
İstanbul,Eyüpsultan,Alibeyköy Mahallesi,625000,90 M2,70 M2,2+1,3,3. Kat
Ankara,Keçiören,Ovacık Mahallesi,1850000,200 M2,180 M2,4.5+1,0 (Yeni),13. Kat
Diyarbakır,Kayapınar,Fırat Mahallesi,1650000,307 M2,240 M2,4+1,3,11. Kat
İstanbul,Ümraniye,İstiklal Mahallesi,1190000,140 M2,130 M2,3+1,16-20,1. Kat
Ankara,Sincan,29 Ekim Mahallesi,550000,125 M2,110 M2,3+1,0 (Yeni),Yüksek Giriş
İstanbul,Esenyurt,Süleymaniye Mahallesi,595000,1.000 M2,90 M2,2+1,4,2. Kat
İstanbul,Bahçelievler,Bahçelievler Mahallesi,2850000,110 M2,100 M2,3+1,1,1. Kat
Kahramanmaraş,Onikişubat,Tekerek Mahallesi,690000,135 M2,-,165 M2,3+1,0 (Yeni)
Balıkesir,Edremit,Akçay Mahallesi,559000TLarrow_downward,100 M2,95 M2,2+1,0 (Yeni),1. Kat
İzmir,Karabağlar,Bahçelievler Mahallesi,890000,150 M2,140 M2,3+1,21 Ve Üzeri,3. Kat
Balıkesir,Edremit,Akçay Mahallesi,422000,78 M2,75 M2,1+1,11-15,1. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,499999,120 M2,105 M2,2+1,0 (Yeni),1. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,499999,120 M2,110 M2,2+1,0 (Yeni),1. Kat
Ankara,Etimesgut,Oğuzlar Mahallesi,659000,135 M2,115 M2,3+1,16-20,3. Kat
Ankara,Etimesgut,Topçu Mahallesi,669000TLarrow_downward,150 M2,140 M2,4+1,5-10,Yüksek Giriş
Balıkesir,Burhaniye,İskele Mahallesi,790000,55 M2,50 M2,1+1,0 (Yeni),Bahçe Katı
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,529999,120 M2,110 M2,2+1,0 (Yeni),2. Kat
Ankara,Çankaya,Harbiye Mahallesi,945000,130 M2,120 M2,3+1,16-20,1. Kat
Şanlıurfa,Karaköprü,Narlıkuyu Mahallesi,760000,190 M2,170 M2,3+1,5-10,6. Kat
Ankara,Etimesgut,Topçu Mahallesi,669000TLarrow_downward,150 M2,140 M2,4+1,5-10,Yüksek Giriş
Balıkesir,Burhaniye,İskele Mahallesi,790000,55 M2,50 M2,1+1,0 (Yeni),Bahçe Katı
Aydın,Kuşadası,Türkmen Mahallesi,1800000,300 M2,Https://Youtu.Be/WEQ4PmlbJwk,320 M2,5+1,5-10
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,529999,120 M2,110 M2,2+1,0 (Yeni),2. Kat
Ankara,Çankaya,Harbiye Mahallesi,945000,130 M2,120 M2,3+1,16-20,1. Kat
Şanlıurfa,Karaköprü,Narlıkuyu Mahallesi,760000,190 M2,170 M2,3+1,5-10,6. Kat
Tekirdağ,Çerkezköy,İstasyon Mahallesi,330000,145 M2,120 M2,2+1,11-15,5. Kat
İstanbul,Esenyurt,Pınar Mahallesi,430000,100 M2,98 M2,2+1,5-10,1. Kat
İstanbul,Sultangazi,Zübeyde Hanım Mahallesi,495000,100 M2,95 M2,2+1,16-20,Yüksek Giriş
Adana,Çukurova,Huzurevleri Mahallesi,449000,130 M2,100 M2,3+1,0 (Yeni),Yüksek Giriş
Tekirdağ,Şarköy,İstiklal Mahallesi,365000,75 M2,70 M2,2+1,21 Ve Üzeri,4. Kat
İstanbul,Kartal,Orhantepe Mahallesi,1475000,105 M2,82 M2,3+1,0 (Yeni),3. Kat
İstanbul,Bahçelievler,Bahçelievler Mahallesi,2850000,110 M2,100 M2,3+1,1,1. Kat
İstanbul,Başakşehir,Bahçeşehir 1. Kısım Mahallesi,3250000,202 M2,175 M2,4+1,5-10,27. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,739000,115 M2,102 M2,2+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Yakuplu Mahallesi,435000,120 M2,110 M2,3+1,0 (Yeni),2. Kat
Balıkesir,Edremit,Akçay Mahallesi,850000,135 M2,120 M2,3+1,3,2. Kat
Ankara,Altındağ,Beşikkaya Mahallesi,225000,130 M2,120 M2,3+1,5-10,Kot 1 (-1). Kat
Ankara,Keçiören,Karakaya Mahallesi,499000,145 M2,135 M2,3+1,4,1. Kat
Diyarbakır,Kayapınar,Fırat Mahallesi,765000,195 M2,170 M2,4+1,5-10,1. Kat
Ankara,Altındağ,Beşikkaya Mahallesi,600000,180 M2,170 M2,4+1,3,3. Kat
Amasya,Suluova,Yeni Mahallesi,570000,125 M2,120 M2,3+1,21 Ve Üzeri,Müstakil
İzmir,Çiğli,Yeni Mahalle Mahallesi,500000,55 M2,50 M2,1+1,2,3. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,2700000,200 M2,190 M2,3+1,3,Bahçe Katı
Ankara,Çankaya,Kırkkonaklar Mahallesi,1780000,270 M2,220 M2,5+1,5-10,7. Kat
Kocaeli,Çayırova,Özgürlük Mahallesi,480000,90 M2,85 M2,2+1,0 (Yeni),Yüksek Giriş
Adana,Seyhan,İsmetpaşa Mahallesi,1950000,270 M2,217 M2,4+1,11-15,Düz Giriş
Ankara,Sincan,Malazgirt Mahallesi,460000,160 M2,125 M2,3+1,5-10,1. Kat
Antalya,Alanya,Mahmutlar Mahallesi,1376000,150 M2,140 M2,2+1,5-10,Bahçe Dublex
İstanbul,Beylikdüzü,Beylikdüzü OSB Mahallesi,315000,110 M2,100 M2,2+1,0 (Yeni),Bahçe Katı
İstanbul,Beylikdüzü,Beylikdüzü OSB Mahallesi,315000,110 M2,100 M2,2+1,0 (Yeni),Bahçe Katı
Balıkesir,Karesi,Paşa Alanı Mahallesi,1525000,240 M2,180 M2,3+1,0 (Yeni),4. Kat
Ankara,Keçiören,Yayla Mahallesi,650000,125 M2,120 M2,3+1,5-10,3. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,669000,130 M2,120 M2,3+1,0 (Yeni),3. Kat
İstanbul,Eyüpsultan,Emniyettepe Mahallesi,1275000,100 M2,90 M2,2+1,5-10,2. Kat
Balıkesir,Edremit,Altınoluk Mahallesi,1000000,98 M2,90 M2,2+1,0 (Yeni),2. Kat
Adana,Seyhan,Gürselpaşa Mahallesi,1475000,205 M2,165 M2,4+1,4,1. Kat
Aydın,Söke,Konak Mahallesi,850000,145 M2,140 M2,3+1,3,2. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,1590000,145 M2,127 M2,3+1,1,3. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,879000,110 M2,100 M2,2+1,1,3. Kat
Sakarya,Karasu,Yalı Mahallesi,315000,55 M2,50 M2,1+1,4,3. Kat
Tekirdağ,Çorlu,Muhittin Mahallesi,450000,145 M2,135 M2,3+1,21 Ve Üzeri,6. Kat
Niğde,Niğde Merkez,İnönü Mahallesi,450000,160 M2,145 M2,3+1,0 (Yeni),13. Kat
Balıkesir,Edremit,Akçay Mahallesi,3750000,220 M2,200 M2,6+1,0 (Yeni),Düz Giriş
Balıkesir,Edremit,Güre Cumhuriyet Mahallesi,5200000,235 M2,225 M2,4+1,5-10,Düz Giriş
Aydın,Didim,Fevzipaşa Mahallesi,3150000,120 M2,110 M2,3+1,0 (Yeni),Villa Tipi
Ankara,Sincan,Fevzi Çakmak Mahallesi,749000,140 M2,130 M2,3+1,0 (Yeni),3. Kat
Ankara,Sincan,Mustafa Kemal Mahallesi,710000,155 M2,140 M2,4+1,0 (Yeni),1. Kat
Ankara,Sincan,Mustafa Kemal Mahallesi,749000,154 M2,138 M2,3+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1950000,195 M2,185 M2,3+1,11-15,1. Kat
Antalya,Alanya,Mahmutlar Mahallesi,975000,70 M2,60 M2,1+1,0 (Yeni),1. Kat
Bursa,Nilüfer,Dumlupınar Mahallesi,419000,65 M2,52 M2,2+1,1,4. Kat
Ankara,Çankaya,İlkadım Mahallesi,1830000,158 M2,140 M2,4+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1495000,180 M2,150 M2,3+2,5-10,5. Kat
İstanbul,Esenyurt,Üçevler Mahallesi,390000,120 M2,100 M2,2+1,4,Bahçe Katı
Mersin,Mezitli,Atatürk Mahallesi,645000,140 M2,130 M2,3+1,5-10,Yüksek Giriş
İstanbul,Esenyurt,Cumhuriyet Mahallesi,780000,110 M2,95 M2,2+1,0 (Yeni),2. Kat
Balıkesir,Edremit,Altınoluk Mahallesi,1300000,150 M2,140 M2,3+1,11-15,2. Kat
İstanbul,Esenyurt,Güzelyurt Mahallesi,375000,125 M2,115 M2,3+1,0 (Yeni),4. Kat
İstanbul,Beylikdüzü,Kavaklı Mahallesi,415000,130 M2,120 M2,3+1,0 (Yeni),2. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,410000,125 M2,115 M2,3+1,0 (Yeni),4. Kat
İstanbul,Beylikdüzü,Barış Mahallesi,1100000,155 M2,145 M2,3+1,16-20,6. Kat
İstanbul,Bayrampaşa,Kartaltepe Mahallesi,2200000,230 M2,200 M2,5+1,5-10,5. Kat
İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,1200000,130 M2,110 M2,2+1,0 (Yeni),5. Kat
İstanbul,Eyüpsultan,Nişancı Mahallesi,650000,85 M2,75 M2,2+1,21 Ve Üzeri,Yüksek Giriş
Ankara,Sincan,29 Ekim Mahallesi,700000,120 M2,105 M2,3+1,0 (Yeni),1. Kat
Balıkesir,Edremit,Altınkum Mahallesi,715000,110 M2,100 M2,2+1,11-15,2. Kat
Adana,Seyhan,İsmetpaşa Mahallesi,715000,176 M2,145 M2,3+1,5-10,5. Kat
Ankara,Keçiören,Bademlik Mahallesi,425000,135 M2,115 M2,3+1,11-15,2. Kat
Balıkesir,Edremit,Akçay Mahallesi,430000,60 M2,50 M2,1+1,4,1. Kat
İstanbul,Beylikdüzü,Yakuplu Mahallesi,939000TLarrow_downward,110 M2,95 M2,2+1,0 (Yeni),1. Kat
İstanbul,Esenyurt,Fatih Mahallesi,789000,120 M2,110 M2,2+1,2,2. Kat
Denizli,Pamukkale,Kınıklı Mahallesi,240000,50 M2,45 M2,1+1,4,1. Kat
Eskişehir,Odunpazarı,Emek Mahallesi,480000,105 M2,95 M2,2+1,2,1. Kat
İstanbul,Bahçelievler,Siyavuşpaşa Mahallesi,265000,85 M2,80 M2,2+1,21 Ve Üzeri,Bahçe Katı
Ankara,Sincan,Andiçen Mahallesi,365000,110 M2,105 M2,3+1,11-15,1. Kat
Amasya,Suluova,Pazar Mahallesi,265000,125 M2,120 M2,3+1,16-20,4. Kat
Aydın,Söke,Yenicamii Mahallesi,850000,155 M2,150 M2,3+1,21 Ve Üzeri,3. Kat
Tekirdağ,Şarköy,Cumhuriyet Mahallesi,460000,90 M2,Https://Youtu.Be/TAvvPLh2ptU,120 M2,2+1,21 Ve Üzeri
Tekirdağ,Kapaklı,Cumhuriyet Mahallesi,800000,225 M2,205 M2,4+2,0 (Yeni),6. Kat
İzmir,Karşıyaka,Bostanlı Mahallesi,2300000,150 M2,140 M2,3+1,21 Ve Üzeri,2. Kat
Adana,Seyhan,İsmetpaşa Mahallesi,605000,120 M2,-,160 M2,2+1,4
Ankara,Kahramankazan,Satıkadın Mahallesi,396500,160 M2,125 M2,3+1,5-10,1. Kat
Balıkesir,Edremit,Güre Cumhuriyet Mahallesi,4500000,256 M2,200 M2,5+1,0 (Yeni),Villa Tipi
Malatya,Yeşilyurt,Tecde Mahallesi,1550000,240 M2,190 M2,4+1,0 (Yeni),5. Kat
İstanbul,Esenyurt,Güzelyurt Mahallesi,780000,105 M2,90 M2,2+1,0 (Yeni),1. Kat
İstanbul,Bakırköy,Ataköy 7-8-9-10. Kısım Mahallesi,2850000,100 M2,95 M2,3+1,21 Ve Üzeri,7. Kat
İstanbul,Küçükçekmece,Mehmet Akif Mahallesi,518000,80 M2,75 M2,2+1,0 (Yeni),Yüksek Giriş
Adana,Seyhan,Yeşilevler Mahallesi,337000TLarrow_downward,120 M2,86 M2,2+1,21 Ve Üzeri,2. Kat
Ankara,Keçiören,Karakaya Mahallesi,380000,120 M2,110 M2,3+1,0 (Yeni),Yüksek Giriş
Manisa,Yunusemre,Merkez Efendi Mahallesi,525000,110 M2,100 M2,2+1,21 Ve Üzeri,1. Kat
Elazığ,Elazığ Merkez,Yazıkonak Bld. (Konak Mahallesi)i,950000,2.500 M2,2.490 M2,6+2,5-10,Bahçe Katı
Balıkesir,Gömeç,Karaağaç Mahallesi,2700000,200 M2,180 M2,3+1,0 (Yeni),Bahçe Katı
Ankara,Yenimahalle,Yeşilevler Mahallesi,489000,140 M2,130 M2,3+1,21 Ve Üzeri,10. Kat
Samsun,Atakum,Körfez Mahallesi,470000,65 M2,55 M2,1+1,5-10,Yüksek Giriş
İstanbul,Sancaktepe,Yunus Emre Mahallesi,649000TLarrow_downward,90 M2,89 M2,2+1,4,2. Kat
İstanbul,Esenyurt,Çınar Mahallesi,380000,110 M2,90 M2,2+1,5-10,Yarı Bodrum
Balıkesir,Edremit,İkizçay Mahallesi,850000,160 M2,130 M2,2+1,0 (Yeni),3. Kat
